letter	frequency
sample1 (15924)	15924
sample2 (14693)	14693
sample3 (13613)	13613
sample4 (14299)	14299
sample5 (14007)	14007
sample6 (14472)	14472
sample7 (15693)	15693
sample8 (15815)	15815
