letter	frequency
sample1 (11855)	11855
sample2 (11288)	11288
sample3 (9907)	9907
sample4 (10740)	10740
sample5 (10424)	10424
sample6 (10864)	10864
sample5 (10424)	10424
sample6 (10864)	10864
sample7 (11481)	11481
sample8 (11591)	11591
